time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-04-27T05:34:31.500Z,26.42,53.568,20,4.8,mb,,,,0.85,us,us200029j2,2015-07-03T00:23:43.040Z,"47 km WSW of K?sh, Iran",earthquake,7.1,4.1,0.052,114,reviewed,teh,us
2022-06-25T03:43:59.875Z,26.4087,54.293,10,4.6,mb,18,165,2.257,0.59,us,us6000hyst,2022-07-01T22:41:00.188Z,"31 km ESE of K?sh, Iran",earthquake,13.6,1.9,0.274,5,reviewed,us,us
2013-05-12T00:06:59.800Z,26.404,57.522,17.6,5.5,mwb,298,29.2,,,us,usc000guh1,2022-05-03T16:17:55.677Z,"91 km SSE of M?n?b, Iran",earthquake,,,,,reviewed,thr,us
2010-11-14T14:49:27.430Z,26.398,57.223,10,4.5,mb,26,140.6,,0.95,us,usp000hpm6,2014-11-07T01:42:55.128Z,"82 km S of M?n?b, Iran",earthquake,,0,,4,reviewed,us,us
2014-07-30T01:32:10.330Z,26.3803,53.5163,12.46,5.3,mwb,,36,1.006,0.77,us,usb000ryha,2022-05-03T17:42:42.228Z,"53 km WSW of K?sh, Iran",earthquake,,3,0.05,38,reviewed,us,us
2020-07-25T17:48:01.465Z,26.3572,56.4855,10,4,mb,,143,1.428,1.13,us,us7000bdal,2020-10-03T17:32:42.040Z,"28 km NE of Dib Dibba, Oman",earthquake,9.4,1.9,0.102,27,reviewed,us,us
2022-06-16T04:44:49.320Z,26.3419,54.4549,10,4.2,mb,,205,8.595,0.45,us,us7000hj0w,2022-06-22T03:09:43.040Z,"48 km WSW of Bandar-e Lengeh, Iran",earthquake,13.4,2,0.159,11,reviewed,us,us
2014-08-16T12:52:36.700Z,26.3,53.63,10,4.2,mb,,,,0.72,us,usc000s7mw,2014-11-15T04:07:11.000Z,"48 km SW of K?sh, Iran",earthquake,,4.5,0.153,14,reviewed,teh,us
2014-07-30T15:11:39.360Z,26.2818,53.5209,10,4.3,mb,,140,2.764,0.6,us,usb000s1up,2014-10-29T19:52:49.000Z,"58 km WSW of K?sh, Iran",earthquake,,1.9,0.142,17,reviewed,us,us
2014-07-31T20:07:35.180Z,26.2217,53.7412,10,4.2,mb,,146,2.561,0.98,us,usb000s24z,2014-10-29T19:52:52.000Z,"46 km SW of K?sh, Iran",earthquake,,2,0.305,3,reviewed,us,us
2019-10-31T15:43:59.157Z,26.158,54.7286,10,5,mb,,45,1.798,1.01,us,us700061lx,2020-01-18T20:00:50.040Z,"46 km SSW of Bandar-e Lengeh, Iran",earthquake,6.4,1.8,0.042,179,reviewed,us,us
2019-11-04T00:18:40.970Z,26.1262,54.6997,10,4.2,mb,,89,1.797,0.79,us,us700062rd,2020-01-18T20:00:57.040Z,"51 km SSW of Bandar-e Lengeh, Iran",earthquake,7.9,1.9,0.091,34,reviewed,us,us
2019-11-04T00:45:21.541Z,26.0591,54.7317,10,4.1,mb,,126,1.732,0.72,us,us700062rg,2020-01-18T20:00:57.040Z,"57 km SSW of Bandar-e Lengeh, Iran",earthquake,7.6,2,0.14,14,reviewed,us,us
2012-10-21T16:13:22.880Z,25.114,56.138,25.1,4.5,mb,32,102.8,,0.95,us,usp000ju98,2015-03-24T02:26:12.907Z,"11 km WSW of Reef Al Fujairah City, United Arab Emirates",earthquake,,7.3,,2,reviewed,us,us
2010-08-22T15:48:27.970Z,23.706,49.156,10,4,mb,26,91.5,,1.15,us,usp000hjmc,2014-11-07T01:42:17.222Z,"188 km SSW of Al Huf?f, Saudi Arabia",earthquake,,,,5,reviewed,us,us
2015-01-29T19:12:25.540Z,23.6431,49.1942,14.17,4.2,mb,,188,3.388,0.62,us,usc000tk5g,2015-05-02T14:05:39.040Z,"194 km SSW of Al Huf?f, Saudi Arabia",earthquake,10,6.7,0.113,24,reviewed,us,us
